`title`,`year`,`album`,`songwriter`,`lead_vocals`,`chart_position_uk`,`chart_position_us`,`echo_id`,`energy`,`tempo`,`speechiness`,`key`,`duration`,`liveness`,`mode`,`time_signature`,`loudness`,`danceability`,`self_references`,`social_words`,`positive_emotions`,`negative_emotions`,`cognitive_words`,`articles`,`big_words`,`word_count`,`unique_word_count`,`longest_word`
`Getting Better`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`McCartney`,`McCartney`,``,``,`TRWUYVL13E35AB4C6B`,`0.4706442261636398`,`122.014`,`0.033970154145548825`,`c`,`168.09751`,`0.07426614071429069`,`major`,`4`,`-8.598`,`0.642433657218984`,`17.5`,`11.88`,`8.12`,`1.88`,`5.62`,`7.5`,`9.38`,`157`,`74`,`changing`
`Girl`,`1965`,`Rubber Soul`,`Lennon`,`Lennon`,``,``,`TRZVCYO13E35A93160`,`0.29599091727182475`,`96.51`,`0.028341884678290852`,`f`,`151.71873`,`0.1793427986030197`,`minor`,`4`,`-13.913`,`0.7008773538794407`,`3.45`,`28.08`,`1.48`,`1.97`,`8.37`,`5.42`,`6.9`,`196`,`90`,`understood`
`Glass Onion`,`1968`,`The Beatles`,`Lennon`,`Lennon`,``,``,`TRRMAQJ13E35AEE42A`,`0.5167451896964909`,`120.47`,`0.04640732763306554`,`g`,`137.82159`,`0.10238029278138178`,`minor`,`4`,`-10.458`,`0.5140483901390204`,`5.07`,`15.94`,`0`,`0`,`5.07`,`10.14`,`11.59`,`127`,`74`,`everything`
`Golden Slumbers`,`1969`,`Abbey Road`,`McCartney`,`McCartney`,``,``,`TRFCZIT13E357FB733`,`0.1353346697366593`,`81.044`,`0.028407391364003276`,`d`,`91.74159`,`0.10673247658086531`,`minor`,`4`,`-13.157`,`0.407125660686353`,`3.53`,`3.53`,`4.71`,`3.53`,`3.53`,`8.24`,`11.76`,`78`,`30`,`lullabye`
`Good Day Sunshine`,`1966`,`Revolver`,`McCartney`,`McCartney`,``,``,`TROHQFS13E35A3BAA9`,`0.49723753871369136`,`117.218`,`0.048587562413412444`,`e`,`129.27955`,`0.12052566689894077`,`major`,`3`,`-9.08`,`0.7391385430090557`,`10.34`,`7.76`,`18.97`,`0.86`,`3.45`,`6.03`,`14.66`,`113`,`58`,`something`
`Good Morning Good Morning`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`Lennon`,`Lennon`,``,``,`TRUZZTN13E35AD3F2E`,`0.5965356816679444`,`121.74`,`0.12222188914713955`,`d`,`161.20118`,`0.7762686283293828`,`major`,`3`,`-9.541`,`0.5600838688995503`,`1.98`,`16.34`,`6.44`,`0.99`,`7.43`,`5.45`,`14.85`,`197`,`103`,`everything`
`Good Night`,`1968`,`The Beatles`,`Lennon`,`Starkey`,``,``,`TRHYBYG13E35B7D2BA`,`0.3099573372335244`,`72.271`,`0.03696301197983293`,`g`,`193.74975`,`0.11106598503162415`,`major`,`4`,`-15.375`,`0.08069474265909085`,`6.73`,`9.62`,`15.38`,`0`,`0`,`2.88`,`2.88`,`104`,`32`,`everywhere`
`Got To Get You Into My Life`,`1966`,`Revolver`,`McCartney`,`McCartney`,``,`7`,`TRIFWLJ13E35A4D469`,`0.5276105233425912`,`136.957`,`0.02986811128578254`,`c`,`149.2371`,`0.09239915268590981`,`major`,`4`,`-6.926`,`0.5394883335623262`,`18.57`,`14.76`,`0.48`,`1.43`,`16.19`,`1.43`,`3.81`,`202`,`74`,`suddenly`
`Happiness Is a Warm Gun`,`1968`,`The Beatles`,`Lennon`,`Lennon`,``,``,`TRYPUMF13E35B092A1`,`0.5448199631443689`,`70.216`,`0.05524484028450766`,`a`,`164.54485`,`0.1477564017243813`,`minor`,`4`,`-10.342`,`0.47593112572378793`,`6.96`,`11.39`,`7.59`,`0.63`,`4.43`,`12.66`,`10.76`,`149`,`83`,`multicoloured`
`Hello Goodbye`,`1967`,`Magical Mystery Tour`,`McCartney`,`McCartney`,`1`,`1`,`TRXIKQB13E3589DE59`,`0.7639897070135375`,`99.57`,`0.026273006748385674`,`c`,`208.8224`,`0.4460659008209647`,`major`,`4`,`-9.425`,`0.4770739979893617`,`13.16`,`40.35`,`0`,`0.44`,`11.84`,`0`,`10.53`,`223`,`29`,`goodbye`
`Help!`,`1965`,`Help!`,`Lennon`,`Lennon`,`1`,`1`,`TRWTBQN13E358230D7`,`0.7577699282409326`,`95.004`,`0.03803522324224823`,`f#`,`139.54567`,`0.08003286873857741`,`minor`,`4`,`-8.13`,`0.5576865849677992`,`17.39`,`14.35`,`1.3`,`0.43`,`9.57`,`2.61`,`9.57`,`228`,`76`,`independence`
`Helter Skelter`,`1968`,`The Beatles`,`McCartney`,`McCartney`,``,``,`TRGMPLE13E35B4CA19`,`0.8273454368221839`,`83.54`,`0.06992003101974292`,`e`,`269.76608`,`0.8469473390371127`,`major`,`4`,`-9.186`,`0.3089072393853526`,`14.04`,`15.74`,`1.28`,`0`,`7.23`,`6.81`,`4.68`,`230`,`60`,`skelter`
`Her Majesty`,`1969`,`Abbey Road`,`McCartney`,`McCartney`,``,``,`TRFIOHQ13E35804279`,`0.2655634779382235`,`100.843`,`0.09245551806940155`,`g`,`25.96526`,`0.1079511483423601`,`major`,`3`,`-23.802`,`0.7204483096691964`,`10.29`,`20.59`,`5.88`,`0`,`10.29`,`8.82`,`11.76`,`61`,`31`,`majesty's`
`Here Comes the Sun`,`1969`,`Abbey Road`,`Harrison`,`Harrison`,``,``,`TRQFERJ13E357E544C`,`0.5240330074182192`,`129.14`,`0.036686228583240166`,`a`,`185.73016`,`0.1952148034286449`,`major`,`4`,`-11.119`,`0.5515411795669226`,`3.45`,`2.76`,`4.83`,`0.69`,`4.83`,`7.59`,`5.52`,`144`,`34`,`returning`
`Here, There and Everywhere`,`1966`,`Revolver`,`McCartney`,`McCartney`,``,``,`TRQCEIB13E35A34484`,`0.24037513536800761`,`82.794`,`0.03157574657668483`,`g`,`144.87465`,`0.09215523298555152`,`major`,`4`,`-13.128`,`0.5012492019213458`,`9.2`,`11.66`,`9.2`,`0`,`14.72`,`1.84`,`13.5`,`162`,`65`,`everywhere`
`Hey Bulldog`,`1968`,`Yellow Submarine`,`Lennon`,`Lennon`,``,``,`TRYTEUJ13E35BB7D74`,`0.6303617122212174`,`101.249`,`0.029990859149966742`,`e`,`191.29424`,`0.28587105885925546`,`major`,`4`,`-9.621`,`0.6020017956848285`,`4.31`,`19.83`,`4.31`,`3.45`,`11.21`,`3.45`,`13.79`,`114`,`62`,`understands`
`Hey Jude`,`1968`,`Past Masters Volume 2`,`McCartney`,`McCartney`,`1`,`1`,`TRDWIML13E358F19AF`,`0.5666672312959914`,`73.636`,`0.024607681205289722`,`f`,`429.92281`,`0.08855548834302031`,`major`,`4`,`-9.963`,`0.4818381508557199`,`0.49`,`14.71`,`5.88`,`2.94`,`4.41`,`3.92`,`6.37`,`199`,`80`,`nanananaaa`
