`title`,`year`,`album`,`songwriter`,`lead_vocals`,`chart_position_uk`,`chart_position_us`,`energy`,`tempo`,`speechiness`,`key`,`duration`,`liveness`,`mode`,`time_signature`,`loudness`,`danceability`,`self_references`,`social_words`,`positive_emotions`,`negative_emotions`,`cognitive_words`,`articles`,`big_words`
`She Said She Said`,`1966`,`Revolver`,`Lennon`,`Lennon`,``,``,`0.7438265928`,`106.913`,`0.0361950213`,`d#`,`156.05986`,`0.73239107`,`major`,`4`,`-8.718`,`0.3328206094`,`15.17`,`19.66`,`2.25`,`2.81`,`12.36`,`1.12`,`3.37`
`The Ballad of John & Yoko`,`1969`,`Past Masters Volume 2`,`Lennon`,`Lennon`,`1`,`8`,`0.8625401941`,`90.177`,`0.0409482544`,`e`,`179.93098`,`0.0835909842`,`major`,`1`,`-7.792`,`0.6222109983`,`3.81`,`17.46`,`2.54`,`0`,`6.98`,`7.94`,`9.21`
`We Can Work It Out`,`1965`,`Past Masters Volume 2`,`McCartney, with Lennon`,`McCartney, with Lennon`,`1`,`1`,`0.4865375711`,`106.033`,`0.0303010215`,`d`,`131.3171`,`0.3519593259`,`major`,`4`,`-14.956`,`0.3741257701`,`11.72`,`14.64`,`0.84`,`2.09`,`7.95`,`2.09`,`5.86`
`She Came in Through the Bathroom Window`,`1969`,`Abbey Road`,`McCartney`,`McCartney`,``,``,`0.7356151606`,`81.155`,`0.0362417507`,`d`,`118.62667`,`0.3098437323`,`major`,`4`,`-9.303`,`0.5224876998`,`6.4`,`21.6`,`0.8`,`0.8`,`11.2`,`9.6`,`11.2`
`Love You To`,`1966`,`Revolver`,`Harrison`,`Harrison`,``,``,`0.5895839835`,`124.203`,`0.0399395199`,`f`,`179.8371`,`0.091221137`,`major`,`4`,`-9.497`,`0.36549522`,`7.78`,`13.33`,`4.44`,`1.11`,`5.56`,`6.67`,`5.56`
`Strawberry Fields Forever`,`1967`,`Magical Mystery Tour`,`Lennon`,`Lennon`,`2`,`8`,`0.4093879837`,`97.788`,`0.1730378449`,`a#`,`242.38975`,`0.0729018653`,`major`,`1`,`-16.695`,`0.3740125837`,`10.31`,`4.64`,`0.52`,`2.06`,`9.79`,`1.03`,`15.46`
`I'll Follow the Sun`,`1964`,`Beatles for Sale`,`McCartney`,`McCartney`,``,``,`0.5445546135`,`134.824`,`0.0337421987`,`c`,`110.41333`,`0.0914827077`,`major`,`4`,`-13.799`,`0.5535562272`,`11.81`,`6.3`,`1.57`,`1.57`,`8.66`,`9.45`,`3.94`
`Another Girl`,`1965`,`Help!`,`McCartney`,`McCartney`,``,``,`0.4829348068`,`89.009`,`0.028760147`,`d`,`122.95791`,`0.3982244138`,`major`,`4`,`-14.896`,`0.4845518614`,`14.01`,`16.43`,`1.45`,`0.97`,`8.7`,`2.42`,`9.66`
`I'm Down`,`1965`,`Past Masters Volume 1`,`McCartney`,`McCartney`,``,``,`0.4777232973`,`163.754`,`0.0468818754`,`c`,`149.2371`,`0.7861742297`,`major`,`4`,`-18.285`,`0.2460100514`,`17.13`,`13.81`,`3.87`,`2.21`,`9.94`,`2.21`,`3.87`
`Polythene Pam`,`1969`,`Abbey Road`,`Lennon`,`Lennon`,``,``,`0.9503010497`,`83.146`,`0.1061239587`,`c#`,`72.65379`,`0.1388912236`,`minor`,`4`,`-9.38`,`0.5213860542`,`0`,`21.05`,`2.63`,`1.32`,`11.84`,`9.21`,`11.84`
`Martha My Dear`,`1968`,`The Beatles`,`McCartney`,`McCartney`,``,``,`0.2999469331`,`89.236`,`0.0287218434`,`g`,`148.58304`,`0.1336368413`,`minor`,`4`,`-12.114`,`0.6326242311`,`10.64`,`18.44`,`11.35`,`3.55`,`9.93`,`4.26`,`4.96`
`Ob-La-Di, Ob-La-Da`,`1968`,`The Beatles`,`McCartney`,`McCartney`,``,`49`,`0.7447759467`,`113.145`,`0.0320221683`,`a#`,`188.96254`,`0.2714149645`,`major`,`4`,`-8.669`,`0.8273790161`,`1.2`,`11.38`,`2.4`,`0`,`3.59`,`12.57`,`5.99`
`Dig a Pony`,`1969`,`Let It Be`,`Lennon`,`Lennon`,``,``,`0.191376019`,`119.734`,`0.0397854988`,`d`,`220.31628`,`0.1016472359`,`major`,`1`,`-19.318`,`0.4533891191`,`6.82`,`21.59`,`0`,`0`,`8.52`,`3.41`,`14.77`
`Yer Blues`,`1968`,`The Beatles`,`Lennon`,`Lennon`,``,``,`0.5297257614`,`76.502`,`0.0585993933`,`e`,`240.4644`,`0.1254151635`,`major`,`3`,`-10.678`,`0.2921377645`,`11.49`,`8.11`,`0`,`3.38`,`14.19`,`7.43`,`8.11`
`When I'm Sixty-Four`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`McCartney`,`McCartney`,``,``,`0.2361879855`,`140.375`,`0.0526176486`,`g#`,`157.68526`,`0.0886817716`,`major`,`4`,`-14.157`,`0.7046984476`,`10.77`,`12.82`,`1.03`,`0.51`,`6.15`,`7.18`,`9.74`
`One After 909`,`1969`,`Let It Be`,`Lennon, with McCartney`,`Lennon and McCartney`,``,``,`0.8219700117`,`91.019`,`0.0601796633`,`e`,`173.96245`,`0.8843000211`,`major`,`4`,`-7.074`,`0.5523329265`,`15.87`,`15.34`,`0`,`1.06`,`0.53`,`5.82`,`7.41`
`Money (That's What I Want)`,`1963`,`With the Beatles`,`Gordy, Bradford`,`Lennon`,``,``,`0.8998017506`,`78.635`,`0.0595201145`,`d#`,`139.66667`,`0.1050970891`,`major`,`4`,`-11.36`,`0.6148124989`,`15.64`,`7.82`,`1.65`,`0`,`28.81`,`2.88`,`0.82`
