`title`,`year`,`album`,`songwriter`,`lead_vocals`,`chart_position_uk`,`chart_position_us`,`energy`,`tempo`,`speechiness`,`key`,`duration`,`liveness`,`mode`,`time_signature`,`loudness`,`danceability`,`self_references`,`social_words`,`positive_emotions`,`negative_emotions`,`cognitive_words`,`articles`,`big_words`
`Ask Me Why`,`1962`,`Please Please Me`,`Lennon`,`Lennon`,``,``,`0.3924667038`,`134.596`,`0.0359354362`,`e`,`146.53968`,`0.1011097615`,`major`,`4`,`-11.78`,`0.6082584114`,`22.73`,`11.93`,`5.11`,`2.84`,`13.64`,`1.14`,`6.82`
`Let It Be`,`1969`,`Let It Be`,`McCartney`,`McCartney`,``,``,`0.3968944514`,`69.797`,`0.0327012349`,`c`,`243.04181`,`0.1136144583`,`major`,`4`,`-8.895`,`0.4975094993`,`3.31`,`3.72`,`3.31`,`0.41`,`2.89`,`4.13`,`4.96`
`I Feel Fine`,`1964`,`Past Masters Volume 1`,`Lennon`,`Lennon`,`1`,`1`,`0.4484029215`,`120.083`,`0.0452359221`,`g`,`137.11628`,`0.106655196`,`major`,`1`,`-18.694`,`0.5696043117`,`11.83`,`33.14`,`6.51`,`0`,`5.92`,`2.37`,`2.37`
`I Want You (She's So Heavy)`,`1969`,`Abbey Road`,`Lennon`,`Lennon`,``,``,`0.3107129652`,`115.858`,`0.033856007`,`d`,`468.79501`,`0.2422150333`,`minor`,`4`,`-9.007`,`0.4842495277`,`16.67`,`22.22`,`0`,`11.11`,`11.11`,`0`,`5.56`
`Hello Goodbye`,`1967`,`Magical Mystery Tour`,`McCartney`,`McCartney`,`1`,`1`,`0.7643905401`,`99.703`,`0.0264329763`,`c`,`208.86204`,`0.4868998283`,`major`,`4`,`-9.315`,`0.4789100154`,`13.16`,`40.35`,`0`,`0.44`,`11.84`,`0`,`10.53`
`This Boy`,`1963`,`Past Masters Volume 1`,`Lennon`,`Lennon, McCartney and Harrison`,``,``,`0.3336615077`,`110.515`,`0.0323920461`,`a`,`136.14975`,`0.1304239489`,`major`,`3`,`-11.861`,`0.6336870636`,`2.61`,`24.35`,`5.22`,`3.48`,`9.57`,`1.74`,`2.61`
`You Can't Do That`,`1964`,`A Hard Day's Night`,`Lennon`,`Lennon`,`1`,`48`,`0.7000384983`,`127.32`,`0.0366915787`,`c`,`154.25261`,`0.5291655969`,`major`,`4`,`-13.747`,`0.5152041677`,`12.65`,`22.89`,`1.81`,`1.2`,`8.43`,`1.81`,`5.42`
`I'm Only Sleeping`,`1966`,`Revolver`,`Lennon`,`Lennon`,``,``,`0.4983940847`,`103.437`,`0.027962376`,`d#`,`180.32472`,`0.2578007408`,`minor`,`4`,`-10.235`,`0.5081452016`,`16.75`,`1.57`,`0`,`1.57`,`4.71`,`6.81`,`10.99`
`It's All Too Much`,`1967`,`Yellow Submarine`,`Harrison`,`Harrison`,``,``,`0.445065895`,`113.698`,`0.0412208197`,`c`,`376.45016`,`0.150700945`,`major`,`4`,`-17.181`,`0.4001522482`,`9.05`,`4.76`,`3.33`,`0`,`4.29`,`6.19`,`5.24`
`Two of Us`,`1969`,`Let It Be`,`McCartney`,`McCartney, with Lennon`,``,``,`0.7219379107`,`109.22`,`0.0310553704`,`c`,`215.82803`,`0.1783910194`,`major`,`4`,`-11.228`,`0.7246207015`,`20.9`,`20.34`,`0.56`,`1.13`,`0.56`,`2.26`,`16.95`
`Love Me Do`,`1962`,`Please Please Me`,`McCartney, with Lennon`,`Lennon and McCartney`,`4`,`1`,`0.8303266419`,`73.944`,`0.051792213`,`d`,`141.69333`,`0.1864288037`,`major`,`4`,`-6.472`,`0.584090504`,`20.72`,`11.71`,`27.03`,`0`,`3.6`,`0`,`3.6`
`Yes It Is`,`1965`,`Past Masters Volume 1`,`Lennon`,`Lennon, McCartney and Harrison`,`1`,`46`,`0.1916777049`,`133.619`,`0.0354935925`,`e`,`162.48118`,`0.1112159229`,`major`,`3`,`-9.452`,`0.4460949161`,`9.09`,`7.49`,`6.95`,`1.07`,`9.63`,`2.67`,`6.95`
`Little Child`,`1963`,`With the Beatles`,`Lennon and McCartney`,`Lennon and McCartney`,``,``,`0.8771850109`,`75.668`,`0.044518998`,`a`,`106.4156`,`0.3502990246`,`major`,`4`,`-9.021`,`0.5247192435`,`10.53`,`17.89`,`1.05`,`4.21`,`2.11`,`3.16`,`1.05`
`Penny Lane`,`1967`,`Magical Mystery Tour`,`McCartney`,`McCartney`,`2`,`1`,`0.4844827696`,`113.274`,`0.0315769266`,`b`,`180.90522`,`0.1322732598`,`minor`,`4`,`-8.782`,`0.6427712201`,`4.7`,`5.98`,`1.71`,`0.85`,`2.99`,`12.82`,`13.25`
`Baby's in Black`,`1964`,`Beatles for Sale`,`Lennon and McCartney`,`Lennon and McCartney`,``,``,`0.4100910179`,`100.739`,`0.031856418`,`a`,`124.05506`,`0.0923576638`,`major`,`3`,`-15.061`,`0.482971683`,`11.29`,`12.9`,`2.69`,`0`,`12.37`,`1.61`,`5.91`
`Maxwell's Silver Hammer`,`1969`,`Abbey Road`,`McCartney`,`McCartney`,``,``,`0.4365305799`,`131.104`,`0.0403235398`,`d`,`207.93324`,`0.1096594492`,`major`,`4`,`-11.21`,`0.7821137357`,`1.23`,`10.66`,`3.28`,`2.46`,`4.1`,`6.15`,`13.11`
`I'm Happy Just to Dance with You`,`1964`,`A Hard Day's Night`,`Lennon`,`Harrison`,``,`95`,`0.6206550922`,`132.497`,`0.0378708317`,`e`,`116.37696`,`0.064015248`,`major`,`4`,`-8.168`,`0.6595107083`,`15.28`,`12.66`,`5.68`,`0`,`13.54`,`0`,`8.73`
`The Inner Light`,`1968`,`Past Masters Volume 2`,`Harrison`,`Harrison`,``,`96`,`0.4653647068`,`204.868`,`0.0460015052`,`g#`,`156.21179`,`0.0837005649`,`major`,`4`,`-10.536`,`0.2387325411`,`6.38`,`2.13`,`2.13`,`0`,`11.7`,`9.57`,`13.83`
`Maggie Mae`,`1969`,`Let It Be`,`(Traditional) arr. Lennon, McCartney, Harrison, Starkey`,`Lennon`,``,``,`0.5762814084`,`84.356`,`0.1543855192`,`d`,`40.05297`,`0.1029615958`,`minor`,`4`,`-12.511`,`0.5880511828`,`3.51`,`10.53`,`1.75`,`1.75`,`1.75`,`7.02`,`10.53`
`And Your Bird Can Sing`,`1966`,`Revolver`,`Lennon`,`Lennon`,``,``,`0.4586145401`,`132.016`,`0.0316639758`,`e`,`118.96118`,`0.1897309741`,`major`,`4`,`-14.85`,`0.5239810881`,`12.26`,`26.42`,`0.94`,`0`,`5.66`,`0`,`3.77`
`Fixing a Hole`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`McCartney`,`McCartney`,``,``,`0.495428551`,`113.465`,`0.0406460783`,`f`,`156.84934`,`0.0804512949`,`minor`,`4`,`-9.612`,`0.4751542805`,`15.76`,`4.24`,`1.21`,`3.03`,`7.27`,`6.06`,`9.09`
`Got To Get You Into My Life`,`1966`,`Revolver`,`McCartney`,`McCartney`,``,`7`,`0.5201499393`,`68.373`,`0.0300346314`,`g`,`149.25642`,`0.0947671945`,`major`,`4`,`-6.864`,`0.5193229547`,`18.57`,`14.76`,`0.48`,`1.43`,`16.19`,`1.43`,`3.81`
`I Will`,`1968`,`The Beatles`,`McCartney`,`McCartney`,``,``,`0.3886244957`,`103.057`,`0.0252834721`,`f`,`105.9512`,`0.0764246924`,`major`,`4`,`-11.979`,`0.6349033264`,`14.29`,`18.75`,`6.25`,`0.89`,`9.82`,`3.57`,`5.36`
`Blue Jay Way`,`1967`,`Magical Mystery Tour`,`Harrison`,`Harrison`,``,``,`0.4073702109`,`100.649`,`0.0312849719`,`c`,`235.07737`,`0.0819922741`,`major`,`4`,`-11.974`,`0.2498779835`,`4.69`,`8.85`,`0`,`1.04`,`0.52`,`2.08`,`4.17`
`Birthday`,`1968`,`The Beatles`,`McCartney, with Lennon`,`McCartney, with Lennon`,``,``,`0.7261407933`,`139.141`,`0.0382985799`,`a`,`162.09705`,`0.2739109907`,`major`,`4`,`-7.897`,`0.549676278`,`10.48`,`27.62`,`13.33`,`0`,`1.9`,`5.71`,`14.29`
`You Won't See Me`,`1965`,`Rubber Soul`,`McCartney`,`McCartney`,``,``,`0.5444071645`,`115.561`,`0.0333400047`,`a`,`199.9688`,`0.0850629125`,`major`,`4`,`-9.286`,`0.4774245357`,`14.01`,`14.01`,`0`,`3.86`,`19.32`,`1.45`,`3.86`
`Getting Better`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`McCartney, with Lennon`,`McCartney`,``,``,`0.4749519535`,`121.646`,`0.035021268`,`c`,`168.13424`,`0.0736672077`,`major`,`4`,`-8.375`,`0.6331356243`,`17.5`,`11.88`,`8.12`,`1.88`,`5.62`,`7.5`,`9.38`
`P.S. I Love You`,`1962`,`Please Please Me`,`McCartney`,`McCartney`,`4`,`10`,`0.6994202548`,`134.458`,`0.0291213157`,`d`,`124.36`,`0.1251972564`,`major`,`4`,`-9.023`,`0.6444817732`,`15.09`,`20.75`,`13.84`,`0`,`3.14`,`1.26`,`5.66`
`Do You Want to Know a Secret`,`1963`,`Please Please Me`,`Lennon`,`Harrison`,``,`2`,`0.3535582209`,`124.414`,`0.0364241088`,`d#`,`117.02712`,`0.3661882607`,`minor`,`4`,`-12.889`,`0.6804270082`,`7.19`,`25.18`,`3.6`,`0`,`11.51`,`5.76`,`4.32`
`Cry Baby Cry`,`1968`,`The Beatles`,`Lennon, with McCartney`,`Lennon, with McCartney`,``,``,`0.4372799819`,`77.689`,`0.0367418145`,`c`,`190.85016`,`0.2235410784`,`major`,`4`,`-16.568`,`0.4592286458`,`0`,`17.57`,`4.5`,`12.61`,`3.15`,`10.36`,`11.26`
`Flying`,`1967`,`Magical Mystery Tour`,`Lennon, McCartney, Harrison and Starkey`,`N/A`,``,``,`0.3509146657`,`92.91`,`0.0779417753`,`c`,`135.53342`,`0.0889840519`,`major`,`4`,`-15.47`,`0.5502748233`,``,``,``,``,``,``,``
`Tell Me Why`,`1964`,`A Hard Day's Night`,`Lennon`,`Lennon`,``,``,`0.4510239919`,`97.142`,`0.0334615582`,`a`,`126.74567`,`0.1300279571`,`major`,`3`,`-14.635`,`0.3238816986`,`18.39`,`20.11`,`0.57`,`9.2`,`13.22`,`0`,`4.02`
`Help!`,`1965`,`Help!`,`Lennon`,`Lennon`,`1`,`1`,`0.7553134688`,`94.939`,`0.0356046257`,`e`,`138.57524`,`0.0851263107`,`major`,`4`,`-8.057`,`0.5535726248`,`17.39`,`14.35`,`1.3`,`0.43`,`9.57`,`2.61`,`9.57`
`Sgt. Pepper's Lonely Hearts Club Band`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`McCartney`,`McCartney`,`63`,`71`,`0.642142483`,`94.892`,`0.089580933`,`g`,`121.90331`,`0.7988008096`,`major`,`4`,`-9.784`,`0.4502511038`,`5.95`,`14.29`,`5.36`,`4.17`,`5.36`,`6.55`,`10.71`
`Things We Said Today`,`1964`,`A Hard Day's Night`,`McCartney`,`McCartney`,``,``,`0.3590924209`,`135.298`,`0.0460709998`,`g`,`154.90567`,`0.1702668475`,`minor`,`4`,`-16.647`,`0.5599038133`,`13.27`,`19.9`,`6.12`,`0.51`,`4.08`,`6.63`,`8.16`
`While My Guitar Gently Weeps`,`1968`,`The Beatles`,`Harrison`,`Harrison`,``,``,`0.4766637674`,`115.885`,`0.0329109501`,`a`,`268.19873`,`0.6313708349`,`minor`,`4`,`-14.503`,`0.458241766`,`12.98`,`11.45`,`9.16`,`5.34`,`12.21`,`3.05`,`9.16`
`Revolution`,`1968`,`Past Masters Volume 2`,`Lennon`,`Lennon`,`1`,`12`,`0.8026922434`,`123.651`,`0.0347266738`,`b`,`202.76635`,`0.3133776031`,`major`,`4`,`-8.494`,`0.4773508548`,`6.08`,`25.41`,`1.66`,`1.1`,`14.36`,`4.42`,`12.71`
`Misery`,`1963`,`Please Please Me`,`Lennon and McCartney`,`Lennon and McCartney`,``,``,`0.7965108436`,`130.049`,`0.0381079145`,`b`,`108.27755`,`0.5794966351`,`major`,`4`,`-7.139`,`0.575175485`,`10.94`,`12.5`,`0.78`,`10.16`,`9.38`,`5.47`,`7.03`
`Only a Northern Song`,`1967`,`Yellow Submarine`,`Harrison`,`Harrison`,``,``,`0.7530446832`,`104.118`,`0.0549855464`,`a`,`204.49669`,`0.0825949637`,`major`,`4`,`-8.62`,`0.2737180922`,`6.81`,`9.42`,`3.66`,`0.52`,`10.47`,`4.71`,`9.95`
`I'll Cry Instead`,`1964`,`A Hard Day's Night`,`Lennon`,`Lennon`,``,`25`,`0.7299376668`,`96.92`,`0.0360360632`,`d`,`105.99764`,`0.3049207934`,`major`,`4`,`-7.547`,`0.6305812969`,`17.81`,`10.27`,`1.37`,`5.48`,`8.9`,`2.74`,`4.79`
`Norwegian Wood (This Bird Has Flown)`,`1965`,`Rubber Soul`,`Lennon`,`Lennon`,``,``,`0.417395185`,`89.534`,`0.0296410403`,`b`,`126`,`0.3052840267`,`minor`,`3`,`-12.058`,`0.5243539307`,`14.53`,`16.24`,`2.56`,`0.85`,`0.85`,`5.13`,`7.69`
`Hey Bulldog`,`1968`,`Yellow Submarine`,`Lennon, with McCartney`,`Lennon`,``,``,`0.493921282`,`100.669`,`0.0314379398`,`g`,`188.81261`,`0.1693089982`,`major`,`4`,`-16.083`,`0.5597738063`,`4.31`,`19.83`,`4.31`,`3.45`,`11.21`,`3.45`,`13.79`
`Revolution 9`,`1968`,`The Beatles`,`Lennon, with Ono and Harrison`,`N/A`,``,``,`0.615327282`,`79.984`,`0.3346123396`,`a`,`502.01397`,`0.82062`,`minor`,`4`,`-15.852`,`0.1797485545`,``,``,``,``,``,``,``
`I Call Your Name`,`1964`,`Past Masters Volume 1`,`Lennon`,`Lennon`,``,``,`0.6217307699`,`126.129`,`0.0283383852`,`a`,`129.01832`,`0.2769006047`,`major`,`4`,`-7.825`,`0.6709280919`,`16.28`,`16.28`,`0`,`3.49`,`6.98`,`1.16`,`1.16`
`Good Night`,`1968`,`The Beatles`,`Lennon`,`Starkey`,``,``,`0.3209395651`,`98.955`,`0.0344158695`,`g`,`191.77215`,`0.1108902198`,`major`,`3`,`-15.166`,`0.1490765101`,`6.73`,`9.62`,`15.38`,`0`,`0`,`2.88`,`2.88`
`Taxman`,`1966`,`Revolver`,`Harrison, with Lennon`,`Harrison`,``,``,`0.2903791641`,`132.753`,`0.0677728188`,`g`,`150.30812`,`0.2204996686`,`major`,`4`,`-23.892`,`0.4924045102`,`14.07`,`11.11`,`0.74`,`0`,`11.85`,`9.63`,`4.44`
`Revolution 1`,`1968`,`The Beatles`,`Lennon`,`Lennon`,``,``,`0.6213548811`,`99.055`,`0.0380169532`,`a`,`255.71991`,`0.6823664877`,`major`,`4`,`-9.716`,`0.4015814555`,`5.34`,`22.33`,`1.94`,`0.97`,`12.14`,`3.88`,`13.59`
`It Won't Be Long`,`1963`,`With the Beatles`,`Lennon, with McCartney`,`Lennon`,``,``,`0.5831285311`,`133.687`,`0.0331176167`,`e`,`130.11546`,`0.1274331951`,`major`,`4`,`-13.593`,`0.4114338901`,`13.97`,`9.56`,`2.94`,`2.94`,`7.35`,`0.74`,`2.21`
`I've Just Seen a Face`,`1965`,`Help!`,`McCartney`,`McCartney`,``,``,`0.5847177154`,`120.404`,`0.0380118146`,`a`,`125.06122`,`0.1127675699`,`major`,`3`,`-9.533`,`0.6495631973`,`13.33`,`12.38`,`0`,`0.95`,`4.29`,`4.76`,`10.48`
`Rocky Raccoon`,`1968`,`The Beatles`,`McCartney`,`McCartney`,``,``,`0.2333040395`,`159.762`,`0.0362567118`,`g`,`221.12608`,`0.1244430075`,`major`,`4`,`-17.301`,`0.5059718106`,`1.68`,`17.23`,`1.68`,`0.84`,`2.94`,`6.72`,`10.5`
`I'm Looking Through You`,`1965`,`Rubber Soul`,`McCartney`,`McCartney`,``,``,`0.4970934014`,`85.825`,`0.0346415855`,`c#`,`146.40036`,`0.0458584767`,`major`,`4`,`-11.473`,`0.6716414992`,`12.27`,`17.79`,`1.23`,`1.23`,`11.66`,`5.52`,`16.56`
`She's A Woman`,`1964`,`Past Masters Volume 1`,`McCartney`,`McCartney`,``,`4`,`0.4853788712`,`177.587`,`0.0358541641`,`a`,`182.93506`,`0.0792861699`,`major`,`4`,`-9.817`,`0.6219568628`,`15.17`,`19.66`,`2.25`,`2.81`,`12.36`,`1.12`,`3.37`
`Wait`,`1965`,`Rubber Soul`,`Lennon and McCartney`,`Lennon and McCartney`,``,``,`0.4655769933`,`127.219`,`0.0391687919`,`f#`,`134.72073`,`0.1070210579`,`minor`,`4`,`-10.908`,`0.5588979074`,`16.36`,`10`,`3.18`,`5.45`,`10.91`,`3.64`,`0.45`
`Glass Onion`,`1968`,`The Beatles`,`Lennon`,`Lennon`,``,``,`0.8114967945`,`122.358`,`0.0391729582`,`f`,`80.45669`,`0.2091555946`,`major`,`4`,`-9.299`,`0.3274331582`,`5.07`,`15.94`,`0`,`0`,`5.07`,`10.14`,`11.59`
`Please Please Me`,`1962`,`Please Please Me`,`Lennon`,`Lennon and McCartney`,`2`,`3`,`0.4669236992`,`139.022`,`0.0295229672`,`e`,`119.27465`,`0.0588058818`,`major`,`4`,`-13.099`,`0.5391882465`,`16.53`,`14.88`,`1.65`,`0.83`,`8.26`,`1.65`,`2.48`
`I Me Mine`,`1970`,`Let It Be`,`Harrison`,`Harrison`,``,``,`0.6476351474`,`91.054`,`0.0404277181`,`e`,`145.58766`,`0.0893589252`,`minor`,`4`,`-8.387`,`0.3758601708`,`56.4`,`3.49`,`2.91`,`2.91`,`0`,`2.91`,`7.56`
`The Night Before`,`1965`,`Help!`,`McCartney`,`McCartney`,``,``,`0.5527018386`,`85.088`,`0.0368478997`,`d`,`151.09179`,`0.4178852429`,`major`,`4`,`-14.727`,`0.4651339494`,`12.06`,`15.58`,`5.03`,`2.01`,`5.53`,`8.04`,`5.53`
`All My Loving`,`1963`,`With the Beatles`,`McCartney`,`McCartney`,``,`45`,`0.5787152054`,`77.553`,`0.0291224547`,`c#`,`127.87084`,`0.3368043622`,`minor`,`4`,`-9.306`,`0.4202732074`,`22.35`,`7.06`,`12.94`,`2.35`,`2.35`,`1.18`,`7.06`
`I Need You`,`1965`,`Help!`,`Harrison`,`Harrison`,``,``,`0.4989430882`,`136.263`,`0.0449027143`,`e`,`148.79202`,`0.1307226692`,`major`,`4`,`-9.293`,`0.6088693132`,`15.38`,`16.24`,`0.85`,`2.56`,`13.68`,`1.71`,`5.98`
`The End`,`1969`,`Abbey Road`,`McCartney`,`McCartney`,``,``,`0.4735010682`,`123.541`,`0.0719689791`,`b`,`141.61705`,`0.1003172326`,`minor`,`1`,`-10.858`,`0.6509274124`,`3.57`,`10.71`,`7.14`,`0`,`3.57`,`10.71`,`3.57`
`Lady Madonna`,`1968`,`Past Masters Volume 2`,`McCartney`,`McCartney`,`1`,`4`,`0.487625223`,`109.064`,`0.0374391273`,`d`,`135.3922`,`0.1001582813`,`major`,`4`,`-18.014`,`0.5905740519`,`0`,`21.77`,`1.61`,`0`,`15.32`,`5.65`,`17.74`
`Baby You're a Rich Man`,`1967`,`Magical Mystery Tour`,`Lennon and McCartney`,`Lennon`,`1`,`34`,`0.3181199228`,`96.968`,`0.0391855159`,`c`,`177.55383`,`0.2151269932`,`major`,`4`,`-17.468`,`0.6682808468`,`0`,`24.61`,`7.85`,`0`,`7.85`,`10.99`,`4.19`
`I Should Have Known Better`,`1964`,`A Hard Day's Night`,`Lennon`,`Lennon`,`8`,`53`,`0.4540203032`,`130.694`,`0.0282820514`,`g`,`163.09551`,`0.119428006`,`major`,`4`,`-8.196`,`0.681819937`,`14.89`,`20.21`,`8.51`,`0`,`9.57`,`2.13`,`2.13`
`Back in the U.S.S.R`,`1968`,`The Beatles`,`McCartney`,`McCartney`,`19`,``,`0.7310699349`,`142.77`,`0.028858003`,`a`,`154.28889`,`0.0809749659`,`major`,`4`,`-8.167`,`0.613814174`,`7.61`,`13.59`,`3.26`,`0.54`,`5.43`,`13.59`,`5.43`
`I Want to Hold Your Hand`,`1963`,`Past Masters Volume 1`,`Lennon and McCartney`,`Lennon and McCartney`,`1`,`1`,`0.6415365192`,`131.254`,`0.0347594589`,`c`,`143.51628`,`0.3367684895`,`major`,`4`,`-15.092`,`0.4164744338`,`18.78`,`16.02`,`2.21`,`0`,`16.57`,`1.1`,`6.08`
`Hey Jude`,`1968`,`Past Masters Volume 2`,`McCartney`,`McCartney`,`1`,`1`,`0.4528591709`,`148.433`,`0.0240068122`,`f`,`300.06952`,`0.095347323`,`major`,`4`,`-10.437`,`0.4659958002`,`0.49`,`14.71`,`5.88`,`2.94`,`4.41`,`3.92`,`6.37`
`Every Little Thing`,`1964`,`Beatles for Sale`,`McCartney`,`Lennon and McCartney`,``,``,`0.3284619157`,`123.491`,`0.0383034748`,`d`,`121.3122`,`0.1433115703`,`major`,`4`,`-16.578`,`0.6572197729`,`14.47`,`16.35`,`5.03`,`0.63`,`6.29`,`3.14`,`4.4`
`Sexy Sadie`,`1968`,`The Beatles`,`Lennon`,`Lennon`,``,``,`0.6110270208`,`75.748`,`0.0277981724`,`g`,`195.27837`,`0.1056779485`,`major`,`4`,`-9.91`,`0.5821357814`,`1.14`,`22.29`,`1.14`,`0`,`9.71`,`7.43`,`8.57`
`She Loves You`,`1963`,`Past Masters Volume 1`,`Lennon and McCartney`,`Lennon and McCartney`,`1`,`1`,`0.9320637196`,`150.945`,`0.0328220904`,`e`,`141.08689`,`0.1047544472`,`minor`,`4`,`-6.274`,`0.3089993519`,`1.26`,`30.67`,`11.76`,`3.36`,`10.08`,`2.1`,`2.1`
`Lovely Rita`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`McCartney`,`McCartney`,``,``,`0.354297085`,`87.465`,`0.0277102`,`d#`,`164.07465`,`0.0985731054`,`major`,`4`,`-16.153`,`0.591215008`,`6.45`,`12.26`,`5.16`,`0`,`3.23`,`7.74`,`7.74`
`Don't Bother Me`,`1963`,`With the Beatles`,`Harrison`,`Harrison`,``,``,`0.7491728825`,`85.768`,`0.0418057583`,`b`,`148.25796`,`0.3054276115`,`minor`,`4`,`-10.382`,`0.4957380582`,`16.5`,`9`,`0`,`7`,`9`,`2.5`,`1.5`
`Across the Universe`,`1968`,`Let It Be`,`Lennon`,`Lennon`,``,``,`0.5075477234`,`83.436`,`0.0437442626`,`d#`,`229.25016`,`0.100281343`,`major`,`1`,`-11.419`,`0.4155623186`,`8.54`,`4.88`,`3.05`,`1.22`,`1.83`,`6.1`,`18.9`
`Hold Me Tight`,`1963`,`With the Beatles`,`McCartney`,`McCartney`,``,``,`0.7918918793`,`135.614`,`0.0307880285`,`f`,`151.92671`,`0.150411104`,`major`,`4`,`-10.098`,`0.5413084008`,`8.29`,`13.47`,`2.07`,`1.55`,`10.88`,`2.07`,`1.04`
`I Am the Walrus`,`1967`,`Magical Mystery Tour`,`Lennon`,`Lennon`,``,`56`,`0.7091225529`,`88.186`,`0.0334781741`,`d`,`268.19873`,`0.6276736534`,`major`,`1`,`-8.294`,`0.272016813`,`6.54`,`11.92`,`0.77`,`2.69`,`6.92`,`10.77`,`13.08`
`I Don't Want to Spoil the Party`,`1964`,`Beatles for Sale`,`Lennon`,`Lennon`,``,`39`,`0.6827189655`,`95.225`,`0.0327690142`,`g`,`154.48091`,`0.1804526966`,`major`,`4`,`-7.969`,`0.541312767`,`20`,`8.29`,`6.34`,`3.9`,`12.2`,`3.41`,`5.85`
`A Hard Day's Night`,`1964`,`A Hard Day's Night`,`Lennon`,`Lennon and McCartney`,`1`,`1`,`0.2667260187`,`155.431`,`0.0445391284`,`c#`,`144.40444`,`0.3174014841`,`major`,`4`,`-19.447`,`0.300264716`,`12.94`,`11.44`,`1`,`1`,`11.44`,`4.98`,`7.46`
`Any Time at All`,`1964`,`A Hard Day's Night`,`Lennon, with McCartney`,`Lennon, with McCartney`,``,``,`0.7255574925`,`70.642`,`0.0398985764`,`d`,`131.28417`,`0.3551489497`,`major`,`4`,`-7.72`,`0.5997039585`,`9.03`,`10.97`,`1.29`,`2.58`,`5.81`,`1.29`,`5.16`
`The Fool on the Hill`,`1967`,`Magical Mystery Tour`,`McCartney`,`McCartney`,``,``,`0.2484478296`,`72.368`,`0.0296775785`,`e`,`179.11728`,`0.0990888949`,`minor`,`4`,`-11.57`,`0.4635829202`,`0`,`16.67`,`1.59`,`0.79`,`11.9`,`14.29`,`7.14`
`For You Blue`,`1969`,`Let It Be`,`Harrison`,`Harrison`,``,`1`,`0.5358238577`,`128.53`,`0.0796777918`,`d`,`152.22857`,`0.2805294793`,`major`,`4`,`-11.202`,`0.8776920934`,`14.05`,`23.14`,`14.88`,`0`,`6.61`,`2.48`,`5.79`
`Your Mother Should Know`,`1967`,`Magical Mystery Tour`,`McCartney`,`McCartney`,``,``,`0.3106124569`,`117.625`,`0.0373270257`,`a`,`148.4205`,`0.0822441666`,`minor`,`4`,`-11.733`,`0.7074397475`,`1.57`,`28.8`,`0`,`0`,`20.94`,`5.24`,`0`
`Oh! Darling`,`1969`,`Abbey Road`,`McCartney`,`McCartney`,``,``,`0.6323238448`,`87.224`,`0.0301207723`,`e`,`204.77342`,`0.3530723185`,`major`,`1`,`-9.266`,`0.598783219`,`19.51`,`18.9`,`3.05`,`3.05`,`9.76`,`0`,`9.15`
`You Like Me Too Much`,`1965`,`Help!`,`Harrison`,`Harrison`,``,``,`0.3825319665`,`88.797`,`0.0304990806`,`g`,`153.0771`,`0.3089325276`,`major`,`4`,`-14.818`,`0.5295864193`,`16.91`,`15.94`,`7.25`,`1.45`,`11.11`,`0.48`,`5.31`
`If I Fell`,`1964`,`A Hard Day's Night`,`Lennon`,`Lennon and McCartney`,``,`53`,`0.3235026915`,`108.268`,`0.0279891272`,`d`,`139.48082`,`0.087014806`,`major`,`4`,`-9.473`,`0.6895815332`,`13.95`,`13.18`,`10.85`,`3.88`,`15.5`,`1.55`,`3.1`
`Old Brown Shoe`,`1969`,`Past Masters Volume 2`,`Harrison`,`Harrison`,``,``,`0.7556906894`,`142.967`,`0.0514625108`,`c#`,`198.71302`,`0.0886049041`,`major`,`1`,`-9.843`,`0.4830193877`,`13.01`,`13.41`,`7.32`,`2.03`,`5.28`,`4.07`,`6.91`
`Within You Without You`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`Harrison`,`Harrison`,``,``,`0.4771893246`,`126.311`,`0.0328717605`,`f#`,`304.66757`,`0.5545349878`,`major`,`4`,`-10.714`,`0.3405683307`,`6.59`,`22.75`,`4.79`,`0.6`,`8.98`,`5.99`,`8.38`
`Doctor Robert`,`1966`,`Revolver`,`Lennon,`,`Lennon`,``,``,`0.4856727572`,`81.757`,`0.0496381504`,`e`,`131.52608`,`0.6746120889`,`major`,`4`,`-15.931`,`0.4342306819`,`2.05`,`23.97`,`2.05`,`0`,`6.16`,`3.42`,`8.9`
`Nowhere Man`,`1965`,`Rubber Soul`,`Lennon`,`Lennon`,``,`3`,`0.5037259009`,`122.252`,`0.0372599835`,`e`,`159.50322`,`0.205952845`,`major`,`4`,`-14.963`,`0.5346000956`,`2.26`,`22.56`,`0`,`1.5`,`6.02`,`6.02`,`13.53`
`Being for the Benefit of Mr. Kite!`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`Lennon`,`Lennon`,``,``,`0.4163579264`,`112.214`,`0.039683827`,`d`,`157.54594`,`0.1040756693`,`minor`,`4`,`-10.409`,`0.5472064165`,`0`,`4.67`,`2`,`0.67`,`0.67`,`10.67`,`17.33`
